type,name,description,groupid,id,status,startTime,duration
Epic,Сходить в магазин,Надо купить продуктов,0,0,DONE,2023-01-01T00:45,PT30M
Subtask,Купить молоко,Стоимость 80 рублей,0,1,DONE,2023-01-01T00:45,PT30M
Subtask,Купить яица,Стоимость 100 рублей,0,2,DONE,2023-01-01T00:45,PT30M
Epic,Сделать омлет,Надо приготовить омлет из продуктов,1,3,DONE,2023-01-01T00:00,PT30M
Subtask,Купить продукты для омлета,Надо 180р. чтобы сделать омлет,1,4,IN_PROGRESS,2023-01-01T00:00,PT30M
Subtask,Купить лапшу,Стоимость 300 рублей,1,5,DONE,2023-01-01T00:00,PT30M

history
1,0,2,3,4

priority history
3,4,1,0,2
